SystemTime	Time	ClientLevel	Bandwidth	FrameRate	CurentFrame
1058843945254	0:10	2	4.772721574526764	30	358
1058843950258	0:15	2	4.794785290857391	30	432
1058843955263	0:20	2	4.799890258315042	30	432
1058843960267	0:25	2	4.7739708969295895	30	432
1058843965272	0:30	2	4.775460613330872	30	1128
1058843970277	0:35	2	4.787745225131794	30	1128
1058843975281	0:40	3	4.758871267172333	30	1128
1058843980296	0:45	3	4.758871267172333	30	1450
1058843985301	0:50	3	4.727727262156694	30	1450
1058843990305	0:55	3	4.712203000807584	30	1450
1058843995310	1:0	3	4.6977985985668065	30	1450
1058844000325	1:5	3	4.685859682212061	15	1128
1058844005329	1:10	3	4.69085221766996	15	1128
1058844010144	1:15	3	4.78597325896153	15	1128
1058844015148	1:20	3	4.803245679939895	15	1128
1058844020152	1:25	3	4.794767743049561	15	1128
1058844025156	1:30	3	4.774807204698032	15	1450
1058844030160	1:35	3	4.780447967181151	15	1450
1058844040143	1:45	3	4.712029581504648	15	1450
1058844045157	1:50	2	4.711343332069956	15	1618
1058844050161	1:55	2	4.705587272269332	15	1618
1058844060153	2:5	2	4.681153395563283	15	1618
1058844065157	2:10	2	4.706389108312812	15	1618
1058844070161	2:15	2	4.701659461227667	15	1618
1058844075165	2:20	2	4.709143671723859	15	2475
1058844080179	2:25	2	4.704784760512856	15	2475
1058844085183	2:30	2	4.706583897964175	15	2475
1058844090187	2:35	2	4.702853278619238	15	2475
1058844095191	2:40	2	4.692616109223158	15	2475
1058844100205	2:45	2	4.689698173671581	15	2475
1058844105209	2:50	2	4.683536284929965	15	2475
1058844110213	2:55	2	4.682242028776684	15	2752
1058844115217	3:0	1	4.667692045893357	15	2945
1058844120221	3:5	1	4.677970826580228	15	2945
1058844125226	3:10	1	4.67369798971482	15	2945
1058844130230	3:15	1	4.69167199893757	15	2945
1058844135234	3:20	1	4.690409821481526	15	2945
1058844140238	3:25	0	4.700663543650191	15	3063
1058844145242	3:30	0	4.718223280913084	15	3135
1058844150246	3:35	0	4.716220334568989	15	3196
1058844155250	3:40	0	4.707075917339039	15	3196
1058844160254	3:45	0	4.711408302679979	15	3429
1058844165268	3:50	0	4.717789703221417	15	3429
1058844170272	3:55	0	4.72046199943313	15	3429
1058844175276	4:0	0	4.723513160962013	15	3429
1058844180280	4:5	0	4.717531644335226	15	3784
1058844185284	4:10	0	4.715911192023781	15	3784
1058844190288	4:15	0	4.724511678319401	15	3784
1058844195292	4:20	0	4.720450608174377	15	3898
1058844200296	4:25	0	4.733250353708114	15	3994
1058844205300	4:30	0	4.748703399973404	15	3994
1058844210304	4:35	0	4.75417787665563	15	4168
1058844215308	4:40	0	4.751310313752662	15	4168
1058844220312	4:45	0	4.746509187875572	15	4372
1058844225317	4:50	0	4.744573921235332	15	4372
1058844230321	4:55	0	4.754990205857259	15	4372
1058844235365	5:0	0	4.752738864587371	15	4578
