SystemTime	Time	ClientLevel	Bandwidth	FrameRate	CurentFrame
1058843945247	0:10	2	0.7705424932647562	30	358
1058843950254	0:15	2	0.7705424932647562	30	358
1058843955261	0:20	2	0.7705424932647562	30	358
1058843960268	0:25	2	0.7705424932647562	30	358
1058843965274	0:30	2	0.7985660284329033	30	432
1058843970281	0:35	2	0.7985660284329033	30	432
1058843975288	0:40	2	0.7985660284329033	30	432
1058843978292	0:43	2	0.7985660284329033	30	missed: 1128
1058843985212	0:50	2	0.7985660284329033	30	432
1058843986463	0:51	2	0.7985660284329033	30	missed: 1450
1058843990309	0:55	2	0.7985660284329033	30	432
1058843994564	0:59	3	0.7985660284329033	30	missed: 1618
1058843995326	1:0	3	0.7985660284329033	30	432
1058843995576	1:0	4	0.7985660284329033	30	missed: 1450
1058844009124	1:13	4	0.7985660284329033	15	missed: 24355
1058844010136	1:15	4	0.7985660284329033	15	432
1058844015153	1:20	4	0.7985660284329033	15	432
1058844020159	1:25	4	0.7985660284329033	15	432
1058844025166	1:30	4	0.7985660284329033	15	432
1058844030173	1:35	4	0.7985660284329033	15	432
1058844035180	1:40	4	0.7985660284329033	15	432
1058844040187	1:45	4	0.7985660284329033	15	432
1058844045194	1:50	4	0.7985660284329033	15	432
1058844050201	1:55	4	0.7985660284329033	15	432
1058844055207	2:0	4	0.7985660284329033	15	432
1058844060214	2:5	4	0.778695515554159	15	432
1058844065221	2:10	4	0.778695515554159	15	432
1058844069978	2:14	4	0.778695515554159	15	missed: 1450
1058844070919	2:15	4	0.778695515554159	15	432
1058844075175	2:20	4	0.778695515554159	15	432
1058844080182	2:25	4	0.778695515554159	15	432
1058844085188	2:30	4	0.778695515554159	15	432
1058844090195	2:35	4	0.7835407760501393	15	432
1058844095202	2:40	4	0.7835407760501393	15	432
1058844100209	2:45	4	0.7835407760501393	15	432
1058844105216	2:50	4	0.7969340613187735	15	432
1058844110223	2:55	4	0.7969340613187735	15	432
1058844115230	3:0	4	0.7969340613187735	15	432
1058844120236	3:5	4	0.7969340613187735	15	432
1058844125243	3:10	4	0.7969340613187735	15	432
1058844130250	3:15	4	0.8071446906819544	15	432
1058844135257	3:20	4	0.8071446906819544	15	432
1058844140264	3:25	3	0.8071446906819544	15	3114
1058844145271	3:30	3	0.8071446906819544	15	3114
1058844150278	3:35	3	0.8218922537647997	15	3114
1058844155284	3:40	3	0.8218922537647997	15	3114
1058844160291	3:45	3	0.8218922537647997	15	3114
1058844165298	3:50	3	0.8235132269451192	15	3114
1058844170305	3:55	3	0.8235132269451192	15	3114
1058844175312	4:0	3	0.8235132269451192	15	3114
1058844180319	4:5	3	0.8239276147534028	15	3114
1058844185325	4:10	3	0.8239276147534028	15	3114
1058844190332	4:15	3	0.8239276147534028	15	3114
1058844195339	4:20	3	0.8239276147534028	15	3114
1058844200346	4:25	3	0.8282847997501757	15	3114
1058844205353	4:30	3	0.8282847997501757	15	3114
1058844210360	4:35	3	0.8282847997501757	15	3114
1058844215367	4:40	3	0.8282847997501757	15	3114
1058844220373	4:45	3	0.8313830244711905	15	3114
1058844225130	4:50	3	0.8313830244711905	15	3114
1058844230137	4:55	3	0.8313830244711905	15	3114
1058844235144	5:0	3	0.8304684977279428	15	3114
