SystemTime	Time	ClientLevel	Bandwidth	FrameRate	CurentFrame
1058511129912	0:5	2	4.644788817988453	30	236
1058511134950	0:10	2	4.611463574710129	30	358
1058511139967	0:15	2	4.802101576182136	30	432
1058511144985	0:20	2	4.821545844910331	30	432
1058511150023	0:25	2	4.769777683450947	30	432
1058511155041	0:30	2	4.618892007227711	30	1128
1058511160058	0:35	2	4.6075810473815455	30	1128
1058511165076	0:40	2	4.616156729955255	30	1128
1058511170094	0:45	2	4.612880415567462	30	1450
1058511175111	0:50	2	4.636041909196741	30	1450
1058511180129	0:55	2	4.671948834040309	30	1618
1058511184896	1:0	2	4.706038928630844	30	1618
1058511189914	1:5	2	4.685893543817041	30	1618
1058511194941	1:10	2	4.713762172350005	30	2475
1058511199959	1:15	2	4.7335200896430285	30	2475
1058511204977	1:20	2	4.7382451849587275	30	2475
1058511209994	1:25	2	4.761687851575491	30	2475
1058511215012	1:30	2	4.7586590233318145	30	2752
1058511220030	1:35	2	4.7595222934074926	30	2752
1058511225048	1:40	2	4.743389736073933	30	2989
1058511230065	1:45	2	4.735349383440987	30	2989
1058511235083	1:50	2	4.73669710502344	30	2989
1058511240101	1:55	2	4.741493229358764	30	2989
1058511245118	2:0	2	4.7608577046210225	30	2989
1058511249885	2:5	2	4.742933581481911	30	2989
1058511254903	2:10	2	4.749416949862447	30	2989
1058511259921	2:15	2	4.749416949862447	30	2989
1058511264938	2:20	2	4.749416949862447	30	2989
1058511269956	2:25	2	4.749416949862447	30	5554
1058511274974	2:30	2	4.749416949862447	30	5554
1058511279991	2:35	2	4.749416949862447	30	5554
1058511285009	2:40	2	4.749416949862447	30	5554
1058511290027	2:45	2	4.749416949862447	30	5554
1058511295044	2:50	2	4.749416949862447	30	5554
1058511300062	2:55	2	4.749416949862447	30	5554
1058511305080	3:0	2	4.749416949862447	30	5554
1058511310097	3:5	2	4.749416949862447	30	5554
1058511315115	3:10	2	4.749416949862447	30	5554
1058511320133	3:15	2	4.749416949862447	30	5554
1058511324899	3:20	2	4.749416949862447	30	6288
1058511329917	3:25	2	4.749416949862447	30	6288
1058511334935	3:30	2	4.749416949862447	30	6288
1058511339952	3:35	2	4.749416949862447	30	6440
1058511344970	3:40	2	4.749416949862447	30	6440
1058511349988	3:45	2	4.749416949862447	30	6440
1058511355005	3:50	2	4.749416949862447	30	6440
1058511360023	3:55	2	4.749416949862447	30	6440
1058511365041	4:0	2	4.749416949862447	30	6440
1058511370058	4:5	2	4.749416949862447	30	6440
1058511375076	4:10	2	4.749416949862447	30	6440
1058511380093	4:15	2	4.749416949862447	30	6440
1058511385111	4:20	2	4.749416949862447	30	6440
1058511390129	4:25	2	4.749416949862447	30	6440
1058511394896	4:30	2	4.749416949862447	30	9478
1058511399886	4:35	2	4.749416949862447	30	9478
1058511404904	4:40	2	4.749416949862447	30	9478
1058511409921	4:45	2	4.749416949862447	30	9478
1058511414939	4:50	2	4.749416949862447	30	9478
1058511419957	4:55	2	4.749416949862447	30	9478
1058511424974	5:0	2	4.749416949862447	30	9478
