SystemTime	Time	ClientLevel	Bandwidth	FrameRate	CurentFrame
1058511129984	0:5	2	1.341273647748468	30	236
1058511134984	0:10	2	1.4355726262141302	30	358
1058511140031	0:15	2	1.4355726262141302	30	432
1058511145031	0:20	2	1.471830985915493	30	432
1058511150046	0:25	2	1.471830985915493	30	432
1058511155078	0:30	2	1.5184637762762763	30	1128
1058511160078	0:35	2	1.5229104582091644	30	1128
1058511165078	0:40	2	1.5229104582091644	30	1128
1058511170078	0:45	2	1.5305716770495006	30	1450
1058511175078	0:50	2	1.5305716770495006	30	1450
1058511180078	0:55	2	1.544351406150846	30	1618
1058511185078	1:0	2	1.5718661246310632	30	1618
1058511190078	1:5	2	1.5718661246310632	30	1618
1058511195093	1:10	2	1.6030896694571504	30	2475
1058511200093	1:15	2	1.6030896694571504	30	2475
1058511205093	1:20	2	1.6030896694571504	30	2475
1058511210093	1:25	2	1.6081808629337149	30	2475
1058511215093	1:30	2	1.6081808629337149	30	2752
1058511220093	1:35	2	1.6163276263198714	30	2752
1058511225093	1:40	2	1.6163276263198714	30	2989
1058511230093	1:45	2	1.6207279523968614	30	2989
1058511235093	1:50	2	1.6207279523968614	30	2989
1058511240109	1:55	2	1.6168291260518204	30	2989
1058511245109	2:0	2	1.6168291260518204	30	2989
1058511250109	2:5	2	1.6135335443526597	30	2989
1058511255109	2:10	2	1.6135335443526597	30	2989
1058511260109	2:15	2	1.614170028734798	30	2989
1058511265109	2:20	2	1.614170028734798	30	2989
1058511270109	2:25	2	1.6163353293413174	30	5554
1058511275109	2:30	2	1.6163353293413174	30	5554
1058511280109	2:35	2	1.6207903052415544	30	5554
1058511285109	2:40	2	1.6207903052415544	30	5554
1058511290109	2:45	2	1.6155123774165576	30	5554
1058511295109	2:50	2	1.6155123774165576	30	5554
1058511300109	2:55	2	1.6272586203890436	30	5554
1058511305109	3:0	2	1.6293651324591918	30	5554
1058511310109	3:5	2	1.6293651324591918	30	5554
1058511315109	3:10	2	1.6270758680176558	30	5554
1058511320109	3:15	2	1.6270758680176558	30	5554
1058511325109	3:20	2	1.6302368962916147	30	6288
1058511330109	3:25	2	1.6327638519811207	30	6288
1058511335109	3:30	2	1.6327638519811207	30	6288
1058511340109	3:35	2	1.6372430705065697	30	6440
1058511345109	3:40	2	1.6372430705065697	30	6440
1058511350109	3:45	2	1.644380825379655	30	6440
1058511354953	3:50	2	1.645839812148172	30	6440
1058511359953	3:55	2	1.645839812148172	30	6440
1058511364953	4:0	2	1.6544518047381522	30	6440
1058511369953	4:5	2	1.6538025886535355	30	6440
1058511374953	4:10	2	1.6538025886535355	30	6440
1058511379953	4:15	2	1.650770287105143	30	6440
1058511384968	4:20	2	1.650770287105143	30	6440
1058511389984	4:25	2	1.6486660148065373	30	6440
1058511395000	4:30	2	1.645947181979552	30	9478
1058511400015	4:35	2	1.645947181979552	30	9478
1058511404921	4:40	2	1.643867773452955	30	9478
1058511409921	4:45	2	1.643867773452955	30	9478
1058511414921	4:50	2	1.6443376444366238	30	9478
1058511419921	4:55	2	1.6474641004328014	30	9478
1058511424921	5:0	2	1.6474641004328014	30	9478
