SystemTime	Time	ClientLevel	Bandwidth	FrameRate	CurentFrame
1058511130070	0:5	2	0.0	30	236
1058511135160	0:10	2	0.0	30	358
1058511139968	0:15	2	0.0	30	432
1058511144988	0:20	2	0.0	30	432
1058511150018	0:25	2	0.0	30	432
1058511155118	0:30	2	0.0	30	1128
1058511159887	0:35	2	0.0	30	1128
1058511164997	0:40	2	0.34994831507132523	30	1128
1058511170077	0:45	2	0.34994831507132523	30	1450
1058511175106	0:50	2	0.34994831507132523	30	1450
1058511179975	0:55	2	0.34994831507132523	30	1618
1058511184965	1:0	2	0.34994831507132523	30	1618
1058511190055	1:5	2	0.34994831507132523	30	1618
1058511194964	1:10	2	0.34994831507132523	30	2475
1058511200024	1:15	2	0.34994831507132523	30	2475
1058511205044	1:20	2	0.34994831507132523	30	2475
1058511209963	1:25	2	0.33348154264723007	30	2475
1058511215053	1:30	2	0.33348154264723007	30	2752
1058511219942	1:35	2	0.33348154264723007	30	2752
1058511224912	1:40	2	0.33348154264723007	30	2989
1058511230062	1:45	2	0.33348154264723007	30	2989
1058511234911	1:50	2	0.33348154264723007	30	2989
1058511239981	1:55	2	0.33348154264723007	30	2989
1058511245041	2:0	2	0.33348154264723007	30	2989
1058511250131	2:5	2	0.33348154264723007	30	2989
1058511254893	2:10	2	0.35504343038903846	30	2989
1058511259973	2:15	2	0.35504343038903846	30	2989
1058511265033	2:20	2	0.35504343038903846	30	2989
1058511269892	2:25	2	0.35504343038903846	30	5554
1058511274952	2:30	2	0.35504343038903846	30	5554
1058511280072	2:35	2	0.35504343038903846	30	5554
1058511285101	2:40	2	0.35504343038903846	30	5554
1058511289940	2:45	2	0.35504343038903846	30	5554
1058511295010	2:50	2	0.35504343038903846	30	5554
1058511300081	2:55	2	0.3530538851550525	30	5554
1058511304950	3:0	2	0.3530538851550525	30	5554
1058511310091	3:5	2	0.3530538851550525	30	5554
1058511314950	3:10	2	0.3530538851550525	30	5554
1058511319980	3:15	2	0.3530538851550525	30	5554
1058511325041	3:20	2	0.3530538851550525	30	6288
1058511330131	3:25	2	0.3530538851550525	30	6288
1058511334940	3:30	2	0.3530538851550525	30	6288
1058511339900	3:35	2	0.3530538851550525	30	6440
1058511344950	3:40	2	0.3530538851550525	30	6440
1058511350021	3:45	2	0.3411681835875952	30	6440
1058511355091	3:50	2	0.3411681835875952	30	6440
1058511359900	3:55	2	0.3411681835875952	30	6440
1058511364971	4:0	2	0.3411681835875952	30	6440
1058511370041	4:5	2	0.3411681835875952	30	6440
1058511375106	4:10	2	0.3411681835875952	30	6440
1058511379915	4:15	2	0.3411681835875952	30	6440
1058511384996	4:20	2	0.34595826828220877	30	6440
1058511390066	4:25	2	0.34595826828220877	30	6440
1058511394915	4:30	2	0.34595826828220877	30	9478
1058511399955	4:35	2	0.34595826828220877	30	9478
1058511405016	4:40	2	0.34595826828220877	30	9478
1058511410106	4:45	2	0.34595826828220877	30	9478
1058511414885	4:50	2	0.34595826828220877	30	9478
1058511419915	4:55	2	0.34595826828220877	30	9478
1058511424945	5:0	2	0.34595826828220877	30	9478
